case,seed,state,variant,init_strategy,total_elastic_energy,positive_energy_contribution,negative_energy_contribution,crack_band_negative_energy_contribution,crack_band_positive_energy_contribution,baseline_total_elastic_energy,energy_change_percent_vs_baseline,variant_lower_energy_than_baseline
D0040_seed7_default_unitbox,7,final_D0040,baseline_current_split,saved_uv_prefit,3.982335528007752e-08,3.982191287832393e-08,1.4428829225171524e-12,0.0,1.3461067815967453e-09,3.982335528007752e-08,0.0,False
D0040_seed7_default_unitbox,7,final_D0040,minus_degraded_in_crack_band,saved_uv_prefit,3.982309237926529e-08,3.982175655892206e-08,1.3326639054442313e-12,0.0,1.3461067815967453e-09,3.982335528007752e-08,-0.0006601674077491877,True
D0040_seed7_default_unitbox,7,final_D0040,minus_removed_in_crack_band,saved_uv_prefit,3.982481544539951e-08,3.982309948469265e-08,1.717603923673261e-12,0.0,1.3461067815967453e-09,3.982335528007752e-08,0.003666605467363732,False
D0040_seed7_default_unitbox,7,final_D0040,full_degradation_all_energy,saved_uv_prefit,3.982356844289825e-08,3.9822069197725796e-08,1.4990287657001833e-12,0.0,1.3461067815967453e-09,3.982335528007752e-08,0.0005352708711479901,False
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,baseline_current_split,saved_uv_prefit,3.968821715716331e-08,3.968805373233408e-08,1.6304562951499624e-13,0.0,9.581752058451798e-10,3.968821715716331e-08,0.0,False
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_degraded_in_crack_band,saved_uv_prefit,3.968821715716331e-08,3.968805373233408e-08,1.6304562951499624e-13,0.0,9.581752058451798e-10,3.968821715716331e-08,0.0,False
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,minus_removed_in_crack_band,saved_uv_prefit,3.968821715716331e-08,3.968805373233408e-08,1.6304562951499624e-13,0.0,9.581752058451798e-10,3.968821715716331e-08,0.0,False
D0040_seed7_default_unitbox,7,through_alpha0p8_onset,full_degradation_all_energy,saved_uv_prefit,3.968856177039015e-08,3.9688373476565175e-08,1.8939919619632983e-13,0.0,9.579869120202034e-10,3.968821715716331e-08,0.0008683011017577279,False
D0040_seed13_default_unitbox,13,final_D0040,baseline_current_split,saved_uv_prefit,3.9495382964105374e-08,3.949439530970267e-08,9.829665293531464e-13,0.0,1.20373244705263e-09,3.9495382964105374e-08,0.0,False
D0040_seed13_default_unitbox,13,final_D0040,minus_degraded_in_crack_band,saved_uv_prefit,3.949521953927615e-08,3.9494373993420595e-08,8.436998929356454e-13,0.0,1.2037308927403956e-09,3.9495382964105374e-08,-0.00041378211061619173,True
D0040_seed13_default_unitbox,13,final_D0040,minus_removed_in_crack_band,saved_uv_prefit,3.94960153471402e-08,3.949506677258796e-08,9.50859508318247e-13,0.0,1.2037308927403956e-09,3.9495382964105374e-08,0.0016011568628191766,False
D0040_seed13_default_unitbox,13,final_D0040,full_degradation_all_energy,saved_uv_prefit,3.949521243384879e-08,3.949438820427531e-08,8.249821182096384e-13,0.0,1.2037308927403956e-09,3.9495382964105374e-08,-0.0004317726371647218,True
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,baseline_current_split,saved_uv_prefit,3.9369055571114586e-08,3.936889925171272e-08,1.5250767228941475e-13,0.0,8.614948199259231e-10,3.9369055571114586e-08,0.0,False
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_degraded_in_crack_band,saved_uv_prefit,3.9369055571114586e-08,3.936889925171272e-08,1.5250767228941475e-13,0.0,8.614948199259231e-10,3.9369055571114586e-08,0.0,False
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,minus_removed_in_crack_band,saved_uv_prefit,3.9369055571114586e-08,3.936889925171272e-08,1.5250767228941475e-13,0.0,8.614948199259231e-10,3.9369055571114586e-08,0.0,False
D0040_seed13_default_unitbox,13,through_alpha0p8_onset,full_degradation_all_energy,saved_uv_prefit,3.936898451684101e-08,3.9368906357140077e-08,7.76999585548957e-14,0.0,8.616102831204842e-10,3.9369055571114586e-08,-0.00018048254535255642,True
D0040_seed42_default_unitbox,42,final_D0040,baseline_current_split,saved_uv_prefit,3.9571467880250566e-08,3.957027416845449e-08,1.1916351152357896e-12,0.0,1.2586347519771834e-09,3.9571467880250566e-08,0.0,False
D0040_seed42_default_unitbox,42,final_D0040,minus_degraded_in_crack_band,saved_uv_prefit,3.957138972054963e-08,3.957010008548423e-08,1.2890407057736253e-12,0.0,1.2586347519771834e-09,3.9571467880250566e-08,-0.00019751529351939753,True
D0040_seed42_default_unitbox,42,final_D0040,minus_removed_in_crack_band,saved_uv_prefit,3.957125116471616e-08,3.9570196008753555e-08,1.0583764767368997e-12,0.0,1.2586347519771834e-09,3.9571467880250566e-08,-0.0005476560411219658,True
D0040_seed42_default_unitbox,42,final_D0040,full_degradation_all_energy,saved_uv_prefit,3.9571560250806215e-08,3.9570608123540296e-08,9.513815516642987e-13,0.0,1.2586378606016524e-09,3.9571467880250566e-08,0.0002334271650683789,False
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,baseline_current_split,saved_uv_prefit,3.9423589726084174e-08,3.9423497355528525e-08,9.38197138250843e-14,0.0,8.662257022784559e-10,3.9423589726084174e-08,0.0,False
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_degraded_in_crack_band,saved_uv_prefit,3.9423589726084174e-08,3.9423497355528525e-08,9.38197138250843e-14,0.0,8.662257022784559e-10,3.9423589726084174e-08,0.0,False
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,minus_removed_in_crack_band,saved_uv_prefit,3.9423589726084174e-08,3.9423497355528525e-08,9.38197138250843e-14,0.0,8.662257022784559e-10,3.9423589726084174e-08,0.0,False
D0040_seed42_default_unitbox,42,through_alpha0p8_onset,full_degradation_all_energy,saved_uv_prefit,3.9423174058583754e-08,3.942307102988707e-08,1.0090300990583945e-13,0.0,8.66195726256791e-10,3.9423589726084174e-08,-0.001054362383810617,True
