case,seed,state,step,Delta,variant,kinematic_mode,source_path,iterations,convergence_status,final_mechanics_loss,final_reaction_proxy,total_elastic_energy,positive_energy_contribution,negative_energy_contribution,crack_band_negative_energy_contribution,crack_band_positive_energy_contribution,cutline_crack_band_traction_proxy,mean_v_jump_proxy,mean_u_jump_proxy,crack_band_element_count,crack_band_mean_abs_sigma_yy_eff,crack_band_max_abs_sigma_yy_eff,crack_band_mean_abs_sigma_xy_eff,crack_band_max_abs_sigma_xy_eff,upper_lower_field_separation_magnitude,near_crack_separation_node_count,prefit_final_loss,prefit_disp_mse,prefit_iterations,baseline_reaction_proxy,baseline_total_elastic_energy,baseline_cutline_crack_band_traction_proxy,baseline_mean_v_jump_proxy,reaction_removed_fraction_vs_baseline,reaction_removed_percent_vs_baseline,reaction_drop_ge_10pct,reaction_drop_ge_30pct,reaction_drop_ge_50pct,optimized_energy_lower_than_continuous_baseline,energy_change_percent_vs_baseline,mean_v_jump_change_vs_baseline,mean_u_jump_change_vs_baseline,previous_frozen_alpha_baseline_reaction_proxy,continuous_vs_previous_baseline_reaction_diff_percent
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,continuous_baseline,continuous,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.399862289428711,0.8268415412807539,3.982335528007752e-08,3.982191287832393e-08,1.4428829225171524e-12,0.0,1.3461067815967453e-09,5.3121083283258486e-06,0.0001783521511242725,1.1620374380072462e-05,165,40.60956573486328,148.76849365234375,0.4042520821094513,7.170880317687988,0.0,0,4.073044324232923e-15,7.965292006973258e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.8268415412807539,0.0
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_current_split,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.399877548217773,0.8593358645745034,3.9822008801593256e-08,3.982152207981926e-08,4.852807608882181e-13,0.0,1.3461473047371442e-09,5.312101961862936e-06,0.00017902649051393382,1.1579871852518409e-05,165,40.62360382080078,148.17115783691406,0.39753204584121704,7.151430130004883,0.00024733791360631585,1319,2.1669584597300458e-15,2.1458764449475967e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,-0.039299335690629045,-3.9299335690629045,False,False,False,True,-0.0033811276694181375,6.74339389661327e-07,-4.050252755405381e-08,0.8268415412807539,
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.399878978729248,0.8861588645195153,3.9821834718622995e-08,3.982148655268247e-08,3.482474183157114e-13,0.0,1.3461072256859552e-09,1.6619928211447643e-09,0.00017883515101857483,1.1488532663861406e-05,165,0.010004963725805283,0.07963347434997559,0.001472422038204968,0.010160893201828003,0.00026514247292652726,1319,2.1669584597300458e-15,2.1458764449475967e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,-0.07173965055853451,-7.173965055853452,False,False,False,True,-0.003818265547522329,4.829998943023384e-07,-1.3184171621105634e-07,0.8268415412807539,
D0040_seed7_default_unitbox,7,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed7_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.41481351852417,0.8748153820744621,3.8475707953011806e-08,3.847537755063968e-08,3.324350343614224e-13,0.0,0.0,0.0,0.00018541897952673025,1.1492229759824113e-05,165,0.0,0.0,0.0,0.0,0.0002461083931848407,1319,2.1669584597300458e-15,2.1458764449475967e-15,250,0.8268415412807539,3.982335528007752e-08,5.3121083283258486e-06,0.0001783521511242725,-0.05802059814193423,-5.802059814193423,False,False,False,True,-3.3840627380282653,7.066828402457759e-06,-1.2814462024834938e-07,0.8268415412807539,
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,continuous_baseline,continuous,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.403454303741455,0.7632701414476601,3.9495382964105374e-08,3.949439530970267e-08,9.829665293531464e-13,0.0,1.20373244705263e-09,5.26426902069943e-06,0.0001785416461643763,-6.009377784721437e-06,162,40.15749740600586,140.2215118408203,0.34947407245635986,4.406590461730957,0.0,0,1.6779504574123772e-15,1.6626355723304274e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.7632701414476601,0.0
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_current_split,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.4034624099731445,0.805386629864821,3.9494608472523396e-08,3.9494345571711165e-08,2.62440134728148e-13,0.0,1.2037373320339384e-09,5.251634320302401e-06,0.00017847057824837975,-5.666917331836885e-06,162,40.137298583984375,140.1655731201172,0.3501857817173004,4.362154960632324,0.00016598116781096905,1313,1.2799542394530518e-15,1.2636794542836261e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,-0.055179006920512336,-5.517900692051233,False,False,False,True,-0.0019609673937897782,-7.106791599653661e-08,3.4246045288455207e-07,0.7632701414476601,
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.403463363647461,0.8850917831614769,3.949453031282246e-08,3.949432425542909e-08,2.0631911977486705e-13,0.0,1.203731003762698e-09,1.5209187242959388e-09,0.0001784449559636414,-5.335613082024793e-06,162,0.009009389206767082,0.10461625456809998,0.0012131223920732737,0.008264627307653427,0.00015629736299160868,1313,1.2799542394530518e-15,1.2636794542836261e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,-0.15960488311879079,-15.960488311879079,False,False,False,True,-0.002158863185823609,-9.669020073488355e-08,6.737647026966442e-07,0.7632701414476601,
D0040_seed13_default_unitbox,13,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_13_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed13_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.416905879974365,0.7423446573767921,3.8290799864171277e-08,3.8290593806777906e-08,2.0624653243941915e-13,0.0,0.0,0.0,0.00018367875964031555,-5.931791861257807e-06,162,0.0,0.0,0.0,0.0,0.0001623985735932365,1313,1.2799542394530518e-15,1.2636794542836261e-15,250,0.7632701414476601,3.9495382964105374e-08,5.26426902069943e-06,0.0001785416461643763,0.027415567483328514,2.7415567483328513,False,False,False,True,-3.0499339657723037,5.137113475939259e-06,7.758592346363002e-08,0.7632701414476601,
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,continuous_baseline,continuous,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.402618408203125,0.7977702680234195,3.9571467880250566e-08,3.957027416845449e-08,1.1916351152357896e-12,0.0,1.2586347519771834e-09,5.2810734132435755e-06,0.00017878592916531488,2.9380739761109e-06,163,41.847957611083984,149.80809020996094,0.5154836177825928,8.100760459899902,0.0,0,3.0382703358679698e-15,2.992997060111938e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,0.0,0.0,False,False,False,False,0.0,0.0,0.0,0.7977702680234195,0.0
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_current_split,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.402631759643555,0.7556920660086988,3.957021732503563e-08,3.956998284593283e-08,2.3710392915536616e-13,0.0,1.2586927056190689e-09,5.279347533360124e-06,0.00017874861441669054,3.379574309292366e-06,163,41.820011138916016,149.56301879882812,0.5120735168457031,8.101286888122559,0.00042995403055101633,1309,3.05387162396521e-15,3.045978335687984e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,0.05274476086828236,5.274476086828236,False,False,False,True,-0.0031602446963103605,-3.73147486243397e-08,4.41500333181466e-07,0.7977702680234195,
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_minus_degraded_crack_band,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.402631759643555,0.8266204990586229,3.9570252852172416e-08,3.956995087150972e-08,2.992763914293206e-13,0.0,1.2586347519771834e-09,1.6610427200358657e-09,0.0001785254353308119,2.8217216936354816e-06,163,0.009240022860467434,0.05792655795812607,0.001368558150716126,0.009523460641503334,0.0004300436412449926,1309,3.05387162396521e-15,3.045978335687984e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,-0.036163582664823515,-3.6163582664823517,False,False,False,True,-0.003070465017437907,-2.60493834502995e-07,-1.1635228247541818e-07,0.7977702680234195,
D0040_seed42_default_unitbox,42,final_D0040,54,0.0002,split_domain_crack_band_void,split_domain,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_42_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_softgate_D0040_seed42_history_default_unitbox\fields_mixed_tm_step_0054.npz,250,converged_trace_tol,-7.416671276092529,0.3961012860024469,3.8311476657781895e-08,3.8311299022097955e-08,1.7677612845767854e-13,0.0,0.0,0.0,0.00018403958165436052,2.7380631308915326e-06,163,0.0,0.0,0.0,0.0,0.0004075765609741211,1309,3.05387162396521e-15,3.045978335687984e-15,250,0.7977702680234195,3.9571467880250566e-08,5.2810734132435755e-06,0.00017878592916531488,0.5034895359238697,50.34895359238697,True,True,True,True,-3.184090179018884,5.253652489045635e-06,-2.0001084521936718e-07,0.7977702680234195,
