case,seed,variant,subdomain,physical_boundary_fx_N,physical_boundary_fy_N,crack_band_interface_fx_N,crack_band_interface_fy_N,transition_interface_fx_N,transition_interface_fy_N,net_force_residual_x_N,net_force_residual_y_N,net_force_residual_magnitude_N,net_moment_residual_Nmm,subdomain_centroid_x,subdomain_centroid_y,physical_boundary_force_magnitude_sum_N,crack_band_interface_force_magnitude_sum_N,transition_interface_force_magnitude_sum_N,mechanically_separated_by_low_crack_interface
D0040_seed7_default_unitbox,7,continuous_baseline,upper,-13.875566076998645,0.2187942778780657,-0.08911997017398002,2.113826275465704,-25.33414302580884,20.80234757164707,-39.29882907298148,23.13496812499084,45.60290250249163,-0.06246888111884015,0.00496690127614534,0.006453835838762299,14.856034180883158,3.815269937896028,1333.7320293453593,False
D0040_seed7_default_unitbox,7,continuous_baseline,lower,-0.6146511503811424,-1.04926174066393,-0.014403117704923946,-1.6589324283481381,6.209848886237458,10.349248912672993,5.580794618151385,7.641054743660947,9.462081492230498,-0.0661583146966071,0.005115917547832391,0.0036217804302700225,1.703235347673184,3.068776074081363,1272.0016815830866,False
D0040_seed7_default_unitbox,7,split_domain_current_split,upper,-13.740179331824033,0.1753569012242077,-0.2321299047991341,1.7844827483814474,-25.178589113428494,20.994055622369334,-39.150898350051655,22.953895271975004,45.38363306053047,-0.06382747965308858,0.00496690127614534,0.006453835838762299,14.707910844690863,3.3843987333901397,1331.749297012853,False
D0040_seed7_default_unitbox,7,split_domain_current_split,lower,-0.8401430918212859,-1.0503147547634526,-0.06720741048112014,-1.7871723474200245,6.45803574470672,9.785770909012832,5.550685242404313,6.948283806829358,8.893185847630313,-0.06805465117965954,0.005115917547832391,0.0036217804302700225,1.8775565643186507,3.5027541142571126,1271.9256302917586,False
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,upper,-0.5540112974353238,0.7276331131051974,-0.23586896920357991,1.6723581160333283,-2.064399278898447e-05,-0.07012252757607489,-0.7899009106316928,2.329868701562453,2.4601283737108286,0.005472764932530253,0.00496690127614534,0.006453835838762299,1.6245551222374688,3.135470921980299,0.10606050050231158,False
D0040_seed7_default_unitbox,7,split_domain_minus_degraded_crack_band,lower,-0.3769189336742759,-1.0055052466230143,-0.04646622137739796,-1.6731172563984111,-0.002200344210197945,0.07275294393433065,-0.4255854992618718,-2.605869559087095,2.640393753999344,-0.0055665568265377404,0.005115917547832391,0.0036217804302700225,1.411149918044348,3.1498497172264255,0.0915777179209873,False
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,upper,-0.28236346144437613,0.8408490181239294,-0.1853943949763916,1.4804665040551532,0.0,0.0,-0.4677578564207678,2.321315522179083,2.3679744858745626,0.005715718179130561,0.00496690127614534,0.006453835838762299,1.2759122245786136,2.9232194400176046,0.0,False
D0040_seed7_default_unitbox,7,split_domain_crack_band_void,lower,-0.37450113641447164,-0.558566213924481,-0.17072397163730402,-1.8013841695455957,0.0,0.0,-0.5452251080517754,-2.3599503834700766,2.422114000391111,-0.005701120010110769,0.005115917547832391,0.0036217804302700225,0.967111959367116,3.3227867893949847,0.0,False
D0040_seed13_default_unitbox,13,continuous_baseline,upper,-0.8272257155452072,0.7635159171600601,-0.002384556906942975,2.1187396260824927,3.1731288989682342,42.101297219798816,2.343518626516077,44.983552763041374,45.04455681587016,0.06437314727883471,0.0050973877918945865,0.00639853802451166,1.6940880070251456,4.297114000421254,1232.7107723609054,False
D0040_seed13_default_unitbox,13,continuous_baseline,lower,-14.240323674949336,-0.1343694582841858,-0.22938128362097968,-1.812175999534355,-1.0140931571694638,-7.019673910938623,-15.483798115739761,-8.966219368757153,17.892487078594243,-0.03301134105221314,0.004986262455370623,0.003567179923863588,15.465517412667497,3.3357193012217317,1304.1427568844076,False
D0040_seed13_default_unitbox,13,split_domain_current_split,upper,-0.9532031430608829,0.8293627240566884,-0.07930119908436464,1.9911916854140694,3.2749270148477887,41.99271311039087,2.2424226727025527,44.81326751986163,44.86933702708049,0.06446863156710944,0.0050973877918945865,0.00639853802451166,1.8472984451534673,4.066894802716903,1231.7077508400612,False
D0040_seed13_default_unitbox,13,split_domain_current_split,lower,-14.368981378846227,-0.1508358449256671,-0.24969443788524234,-1.8915950797098733,-0.9974126872802637,-7.0755907462324785,-15.61608850401174,-9.11802167086801,18.083156233233904,-0.0338234659454962,0.004986262455370623,0.003567179923863588,15.52655117763723,3.4872904275936936,1303.8167656164871,False
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,upper,-0.9250213056276186,0.9334885787114368,-0.04978357709331524,2.124650668004537,0.0007968778574355877,-0.0715589579774538,-0.9740080048634991,2.9865802887385193,3.1413935465999216,0.00770849698802051,0.0050973877918945865,0.00639853802451166,1.8692484873034165,4.347315862651307,0.10028107680835162,False
D0040_seed13_default_unitbox,13,split_domain_minus_degraded_crack_band,lower,-0.3944590500274128,-0.9306386315053841,-0.27101764127345085,-1.9344263844774712,0.002775273602772964,0.08528964666011835,-0.6627014176980909,-2.779775369322737,2.857678126191335,-0.006459565880864429,0.004986262455370623,0.003567179923863588,1.4818028432878556,3.650898524165093,0.1085875453113139,False
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,upper,-0.6810885880517136,0.8322019039959521,-0.11187152546524101,1.5343281934631607,0.0,0.0,-0.7929601135169543,2.3665300974591132,2.495846638679681,0.006430763437389157,0.0050973877918945865,0.00639853802451166,1.4403011926913079,3.2060872194335586,0.0,False
D0040_seed13_default_unitbox,13,split_domain_crack_band_void,lower,-0.3136024696136749,-0.6151266340124172,-0.26713287843499767,-1.5284027100763404,0.0,0.0,-0.5807353480486724,-2.143529344088759,2.2208042672515735,-0.004882954489343746,0.004986262455370623,0.003567179923863588,1.159402299085163,2.6657657652063045,0.0,False
D0040_seed42_default_unitbox,42,continuous_baseline,upper,-12.212741192978982,0.566335548508809,-0.006504508330150309,1.956030753231862,-14.74345071183609,49.80495409278928,-26.962696413145245,52.327320394529956,58.865401192374684,0.039985943203347446,0.004990206677216139,0.006448453354327147,13.084180031922,4.160701528984147,1431.5180221712524,False
D0040_seed42_default_unitbox,42,continuous_baseline,lower,-0.48140000875134853,-1.0207181818178932,0.10896716863936473,-1.9545432873699742,-15.5856371039601,7.072902823322603,-15.958069944072086,4.097641354134703,16.475759800598325,0.0033342534724449687,0.005093929518697391,0.00361565995958494,1.6094640854712055,3.9154978649609773,1163.7826659695068,False
D0040_seed42_default_unitbox,42,split_domain_current_split,upper,-11.915171340344722,0.4819628206052132,-0.004931362289049758,1.685981588127011,-15.220635559509075,49.81161017529362,-27.140738262142847,51.979554584025834,58.63867126877847,0.03775170289575065,0.004990206677216139,0.006448453354327147,12.737064894615656,3.596799672303453,1431.4301211579955,False
D0040_seed42_default_unitbox,42,split_domain_current_split,lower,-0.47680998317794293,-0.9623255233854027,0.13296396775454306,-1.85776625755061,-15.545071713381725,7.220466441230443,-15.888917728805119,4.400374660294432,16.486994988283914,0.005147034895123122,0.005093929518697391,0.00361565995958494,1.5278765814661197,3.8776253004669408,1162.1113220093152,False
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,upper,-0.7301063453641973,0.8501266434448758,-0.011659978078048253,1.865575384450626,0.0013052219707677633,-0.07069177983735889,-0.7404611014714777,2.645010248058142,2.7467001756880833,0.0073683220122471565,0.004990206677216139,0.006448453354327147,1.6059448009350643,3.951245224039974,0.0932624933773886,False
D0040_seed42_default_unitbox,42,split_domain_minus_degraded_crack_band,lower,-0.4112096080665621,-0.9459427298900989,0.12981932340735203,-1.8950034190407328,0.0067564542330199855,0.07058781699931238,-0.2746338304261903,-2.770358331931522,2.783937683950014,-0.006505933363703199,0.005093929518697391,0.00361565995958494,1.4775854292511756,3.821886627461253,0.09156100336917174,False
D0040_seed42_default_unitbox,42,split_domain_crack_band_void,upper,-0.3446338595542142,0.46569093938726547,0.027249234904800936,1.6845130687154584,0.0,0.0,-0.3173846246494135,2.150204008102724,2.1735018464277567,0.0059027831190682535,0.004990206677216139,0.006448453354327147,0.9307013260215204,3.4760217570960275,0.0,False
D0040_seed42_default_unitbox,42,split_domain_crack_band_void,lower,-0.3270821294631641,-0.6156969614159724,0.14209718447360217,-1.5427696752969218,0.0,0.0,-0.18498494498956192,-2.1584666367128937,2.166378926151993,-0.004991342383657122,0.005093929518697391,0.00361565995958494,1.1021261555306943,3.0204983252180764,0.0,False
