step,load_case,Delta,strain,checkpoint,history_source,reaction_N_energy,reaction_N_virtual_work,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,reaction_metric_status,is_energy_conjugate,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,Delta_s,engineering_shear_strain,seed,checkpoint_exists,field_npz_exists
0,shear,1e-06,0.0001,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0000.pt,zero_initial_history,0.0049372074499842,,2.402915323315713e-12,2.3955351591276038e-12,7.380146400416936e-15,energy_conjugate,True,False,0,,,,0.0,1e-06,0.0001,23,True,True
1,shear,3e-06,0.0003,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0001.pt,checkpoint_step_0000_post_history,0.0164080483955331,,2.364601917048681e-11,2.3637208509952323e-11,8.811117085244773e-15,energy_conjugate,True,False,0,,,,0.0,3e-06,0.0003,23,True,True
2,shear,5e-06,0.0005,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0002.pt,checkpoint_step_0001_post_history,0.0283190220216056,,6.835085969436605e-11,6.833585780574579e-11,1.5000021759631682e-14,energy_conjugate,True,False,0,,,,0.0,5e-06,0.0005,23,True,True
3,shear,7e-06,0.0007,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0003.pt,checkpoint_step_0002_post_history,0.0402047153329476,,1.3688247757492888e-10,1.3683777722039991e-10,4.470335980186722e-14,energy_conjugate,True,False,0,,,,0.0,7e-06,0.0007,23,True,True
4,shear,1e-05,0.001,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0004.pt,checkpoint_step_0003_post_history,0.0579610568820498,,2.8405733321079646e-10,2.8387547867936286e-10,1.8185194290091386e-13,energy_conjugate,True,False,0,,,,0.0,1e-05,0.001,23,True,True
5,shear,1.2e-05,0.0012,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0005.pt,checkpoint_step_0004_post_history,0.0697562500135973,,4.1173206510869415e-10,4.1131459349585953e-10,4.1747757594662326e-13,energy_conjugate,True,False,0,,,,0.0,1.2e-05,0.0012,23,True,True
6,shear,1.5e-05,0.0015,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0006.pt,checkpoint_step_0005_post_history,0.087407672253903,,6.475331937316753e-10,6.463127255607047e-10,1.2204681709704346e-12,energy_conjugate,True,False,0,,,,0.0,1.5e-05,0.0015,23,True,True
7,shear,1.7e-05,0.0017,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0007.pt,checkpoint_step_0006_post_history,0.0990707630990073,,8.339702817217186e-10,8.318622457537116e-10,2.108062422540025e-12,energy_conjugate,True,False,0,,,,0.0,1.7e-05,0.0017,23,True,True
8,shear,2e-05,0.002,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0008.pt,checkpoint_step_0007_post_history,0.1164563145721331,,1.1569415425682903e-09,1.1524436960286264e-09,4.497900749772521e-12,energy_conjugate,True,False,0,,,,0.0,2e-05,0.002,23,True,True
9,shear,2.2e-05,0.0021999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0009.pt,checkpoint_step_0008_post_history,0.1279345742659643,,1.401832760983268e-09,1.394939719290278e-09,6.893011769010249e-12,energy_conjugate,True,False,0,,,,0.0,2.2e-05,0.0021999999999999,23,True,True
10,shear,2.5e-05,0.0025,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0010.pt,checkpoint_step_0009_post_history,0.1450211711926385,,1.810958050185718e-09,1.7984931321990414e-09,1.2464878088036535e-11,energy_conjugate,True,False,0,,,,0.0,2.5e-05,0.0025,23,True,True
11,shear,2.7e-05,0.0026999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0011.pt,checkpoint_step_0010_post_history,0.1562394463689997,,2.113271779791148e-09,2.0960539970360514e-09,1.7217833062077578e-11,energy_conjugate,True,False,0,,,,0.0,2.7e-05,0.0026999999999999,23,True,True
12,shear,3e-05,0.003,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0012.pt,checkpoint_step_0011_post_history,0.1730065996525809,,2.606784343939239e-09,2.5793054359013468e-09,2.747880221976029e-11,energy_conjugate,True,False,0,,,,0.0,3e-05,0.003,23,True,True
13,shear,3.2e-05,0.0031999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0013.pt,checkpoint_step_0012_post_history,0.1836774026742205,,2.9632660769607355e-09,2.9267799295240593e-09,3.6486241111743916e-11,energy_conjugate,True,False,0,,,,0.0,3.2e-05,0.0031999999999999,23,True,True
14,shear,3.5e-05,0.0034999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0014.pt,checkpoint_step_0013_post_history,0.199937101569958,,3.539684323428105e-09,3.484790234153934e-09,5.4893995599103456e-11,energy_conjugate,True,False,0,,,,0.0,3.5e-05,0.0034999999999999,23,True,True
15,shear,3.7e-05,0.0036999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0015.pt,checkpoint_step_0014_post_history,0.2103413571603596,,3.951159399662174e-09,3.882586252501596e-09,6.857300144380574e-11,energy_conjugate,True,False,0,,,,0.0,3.7e-05,0.0036999999999999,23,True,True
16,shear,4e-05,0.004,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0016.pt,checkpoint_step_0015_post_history,0.226069416385144,,4.606044878840976e-09,4.508485140775065e-09,9.755952296019997e-11,energy_conjugate,True,False,0,,,,0.0,4e-05,0.004,23,True,True
17,shear,4.2e-05,0.0042,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0017.pt,checkpoint_step_0016_post_history,0.2357595367357134,,5.069117570144499e-09,4.947868781357556e-09,1.2124865000906482e-10,energy_conjugate,True,False,0,,,,0.0,4.2e-05,0.0042,23,True,True
18,shear,4.5e-05,0.0045,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0018.pt,checkpoint_step_0017_post_history,0.2506029268261045,,5.801158220464231e-09,5.635181654639609e-09,1.6597664909134835e-10,energy_conjugate,True,False,0,,,,0.0,4.5e-05,0.0045,23,True,True
19,shear,4.7e-05,0.0046999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0019.pt,checkpoint_step_0018_post_history,0.2593893441371619,,6.3137903794086014e-09,6.110406403081471e-09,2.0338405959385847e-10,energy_conjugate,True,False,0,,,,0.0,4.7e-05,0.0046999999999999,23,True,True
20,shear,5e-05,0.005,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0020.pt,checkpoint_step_0019_post_history,0.2728560357354581,,7.113056810226226e-09,6.835322086118367e-09,2.77734918396888e-10,energy_conjugate,True,False,0,,,,0.0,5e-05,0.005,23,True,True
21,shear,5.2e-05,0.0052,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0021.pt,checkpoint_step_0020_post_history,0.2806767588481307,,7.669165746904127e-09,7.332773499513223e-09,3.3639263596896285e-10,energy_conjugate,True,False,0,,,,0.0,5.2e-05,0.0052,23,True,True
22,shear,5.5e-05,0.0055,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0022.pt,checkpoint_step_0021_post_history,0.2912730851676315,,8.529994488526427e-09,8.065621059927253e-09,4.6437367839935457e-10,energy_conjugate,True,False,0,,,,0.0,5.5e-05,0.0055,23,True,True
23,shear,5.7e-05,0.0057,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0023.pt,checkpoint_step_0022_post_history,0.2953899675048888,,9.121058575090046e-09,8.549080554587363e-09,5.719780205026835e-10,energy_conjugate,True,False,0,,,,0.0,5.7e-05,0.0057,23,True,True
24,shear,6e-05,0.006,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0024.pt,checkpoint_step_0023_post_history,0.299647421343252,,1.0016867335593815e-08,9.206600815048205e-09,8.102665760567618e-10,energy_conjugate,True,False,0,,,,0.0,6e-05,0.006,23,True,True
25,shear,6.2e-05,0.0062,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0025.pt,checkpoint_step_0024_post_history,0.2990819921251386,,1.0624180646345849e-08,9.639167686259498e-09,9.850132931532583e-10,energy_conjugate,True,False,1,0.0050444970838725,0.0050444970838725,0.0049571054987609,0.0,6.2e-05,0.0062,23,True,True
26,shear,6.5e-05,0.0065,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0026.pt,checkpoint_step_0025_post_history,0.2969594206660986,,1.1512236497424055e-08,1.0222471757970196e-08,1.2897645174092531e-09,energy_conjugate,True,False,6,0.0050210845656692,0.0051118209958076,0.0049557522094498,9.073643013834952e-05,6.5e-05,0.0065,23,True,True
27,shear,6.7e-05,0.0067,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0027.pt,checkpoint_step_0026_post_history,0.2952559734694659,,1.21162004873554e-08,1.0642962067208828e-08,1.473238198101967e-09,energy_conjugate,True,False,8,0.0050210845656692,0.0051518338732421,0.0049574358272366,0.0001307493075728,6.7e-05,0.0067,23,True,True
28,shear,7e-05,0.0069999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0028.pt,checkpoint_step_0027_post_history,0.2943975268863141,,1.2995407416838134e-08,1.1214831729944308e-08,1.7805753538269187e-09,energy_conjugate,True,False,11,0.0050210845656692,0.0052038063295185,0.0049535524608059,0.0001827217638492,7e-05,0.0069999999999999,23,True,True
29,shear,7.2e-05,0.0072,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0029.pt,checkpoint_step_0028_post_history,0.2920836268458515,,1.3593627556929276e-08,1.1621203555023385e-08,1.972424001905892e-09,energy_conjugate,True,False,13,0.0050210845656692,0.005216818768531,0.0049524396443023,0.0001957342028617,7.2e-05,0.0072,23,True,True
30,shear,7.5e-05,0.0074999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0030.pt,checkpoint_step_0029_post_history,0.2886884904000908,,1.4471066123178389e-08,1.2172394647791409e-08,2.298671475386982e-09,energy_conjugate,True,False,15,0.0050210845656692,0.0052806884050369,0.0049448379936317,0.0002596038393676,7.5e-05,0.0074999999999999,23,True,True
31,shear,7.7e-05,0.0077,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0031.pt,checkpoint_step_0030_post_history,0.2821179223246872,,1.506632685277509e-08,1.2537304527882044e-08,2.529021880803839e-09,energy_conjugate,True,False,17,0.0050210845656692,0.005349135491997,0.0049326428869629,0.0003280509263277,7.7e-05,0.0077,23,True,True
32,shear,8e-05,0.008,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0032.pt,checkpoint_step_0031_post_history,0.284379260847345,,1.591619813723355e-08,1.3066673076878033e-08,2.8495255044447276e-09,energy_conjugate,True,False,20,0.0050210845656692,0.0054052211344242,0.0049097448820248,0.0003841365687549,8e-05,0.008,23,True,True
33,shear,8.2e-05,0.0082,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0033.pt,checkpoint_step_0032_post_history,0.2775924804154783,,1.6505165234548258e-08,1.3439084511901456e-08,3.066080278557592e-09,energy_conjugate,True,False,21,0.0050210845656692,0.0054052211344242,0.0049111947772048,0.0003841365687549,8.2e-05,0.0082,23,True,True
34,shear,8.4e-05,0.0084,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0034.pt,checkpoint_step_0033_post_history,0.2764971286524087,,1.706689545244444e-08,1.377873015684372e-08,3.288164629466905e-09,energy_conjugate,True,False,22,0.0050210845656692,0.0054849125444889,0.0049070570914244,0.0004638279788196,8.4e-05,0.0084,23,True,True
35,shear,8.6e-05,0.0086,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0035.pt,checkpoint_step_0034_post_history,0.2686097286641598,,1.7656432760304597e-08,1.4126849912088346e-08,3.52958329230546e-09,energy_conjugate,True,False,24,0.0050210845656692,0.0055110286921262,0.0048900672894281,0.0004899441264569,8.6e-05,0.0086,23,True,True
36,shear,8.8e-05,0.0087999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0036.pt,checkpoint_step_0035_post_history,0.2636931894812733,,1.8216006480997752e-08,1.4455443064775864e-08,3.760562528043465e-09,energy_conjugate,True,False,26,0.0050210845656692,0.0055762617848813,0.0048876045128473,0.000555177219212,8.8e-05,0.0087999999999999,23,True,True
37,shear,9e-05,0.009,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0037.pt,checkpoint_step_0036_post_history,0.2593241224531084,,1.8756781017259527e-08,1.4749428345339766e-08,4.0073526719197625e-09,energy_conjugate,True,False,28,0.0050210845656692,0.0056397449225187,0.0048742583021521,0.0006186603568494,9e-05,0.009,23,True,True
38,shear,9.2e-05,0.0092,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0038.pt,checkpoint_step_0037_post_history,0.2529610064812004,,1.9302348164274008e-08,1.5060605207395383e-08,4.241743400967834e-09,energy_conjugate,True,False,29,0.0050210845656692,0.0057006627321243,0.0048673684098597,0.000679578166455,9.2e-05,0.0092,23,True,True
39,shear,9.4e-05,0.0093999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0039.pt,checkpoint_step_0038_post_history,0.2415713533991947,,1.985493902623148e-08,1.5328584623830466e-08,4.526353958311802e-09,energy_conjugate,True,False,32,0.0050210845656692,0.0057006627321243,0.0048514276568312,0.000679578166455,9.4e-05,0.0093999999999999,23,True,True
40,shear,9.6e-05,0.0096,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0040.pt,checkpoint_step_0039_post_history,0.24103005125653,,2.037046620273486e-08,1.563645035673744e-08,4.734015845997419e-09,energy_conjugate,True,False,33,0.0050210845656692,0.0057677295990288,0.0048469320983823,0.0007466450333595,9.6e-05,0.0096,23,True,True
41,shear,9.8e-05,0.0098,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0041.pt,checkpoint_step_0040_post_history,0.2378589560976252,,2.0881344653389533e-08,1.5929712660067707e-08,4.951631993321825e-09,energy_conjugate,True,False,35,0.0050210845656692,0.0058470671065151,0.004834225374673,0.0008259825408458,9.8e-05,0.0098,23,True,True
42,shear,0.0001,0.01,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0042.pt,checkpoint_step_0041_post_history,0.2307097456650808,,2.141889332563096e-08,1.6237297728594058e-08,5.181595597036903e-09,energy_conjugate,True,False,36,0.0050210845656692,0.0059169433079659,0.0048274096981104,0.0008958587422966,0.0001,0.01,23,True,True
43,shear,0.000102,0.0101999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0043.pt,checkpoint_step_0042_post_history,0.2184738259529695,,2.1939269956305907e-08,1.6476141340149297e-08,5.463129060245819e-09,energy_conjugate,True,False,37,0.0050210845656692,0.0059481258504092,0.0048226347897906,0.0009270412847399,0.000102,0.0101999999999999,23,True,True
44,shear,0.000104,0.0104,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0044.pt,checkpoint_step_0043_post_history,0.2191928069805726,,2.2409492927977226e-08,1.6771501520906895e-08,5.637990962981121e-09,energy_conjugate,True,False,41,0.0050210845656692,0.0059558008797466,0.0048040080724692,0.0009347163140773,0.000104,0.0104,23,True,True
45,shear,0.000106,0.0106,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0045.pt,checkpoint_step_0044_post_history,0.2157941344194114,,2.2874614202805787e-08,1.702166940731331e-08,5.852944795492476e-09,energy_conjugate,True,False,43,0.0050210845656692,0.0060191764496266,0.0047940771030478,0.0009980918839573,0.000106,0.0106,23,True,True
46,shear,0.000108,0.0107999999999999,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0046.pt,checkpoint_step_0045_post_history,0.2101983554894104,,2.3340703592111826e-08,1.7264490281831968e-08,6.076213754369064e-09,energy_conjugate,True,False,43,0.0050210845656692,0.0060191764496266,0.0047940771030478,0.0009980918839573,0.000108,0.0107999999999999,23,True,True
47,shear,0.00011,0.011,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0047.pt,checkpoint_step_0046_post_history,0.2041296102106571,,2.3801279169788362e-08,1.7487215231426493e-08,6.314064382451079e-09,energy_conjugate,True,False,46,0.0050210845656692,0.0061480961740016,0.0047830252442508,0.0011270116083323,0.00011,0.011,23,True,True
48,shear,0.000112,0.0112,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0048.pt,checkpoint_step_0047_post_history,0.1962040551006794,,2.425777978487531e-08,1.7730018342376752e-08,6.5277614424985594e-09,energy_conjugate,True,False,46,0.0050210845656692,0.0061480961740016,0.0047830252442508,0.0011270116083323,0.000112,0.0112,23,True,True
49,shear,0.000114,0.0114,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0049.pt,checkpoint_step_0048_post_history,0.1952001766767352,,2.4712011992278352e-08,1.7978326383172316e-08,6.733684720927613e-09,energy_conjugate,True,False,48,0.0050210845656692,0.0062212143093347,0.0047710071279046,0.0012001297436654,0.000114,0.0114,23,True,True
50,shear,0.000116,0.0116,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0050.pt,checkpoint_step_0049_post_history,0.1901022624224424,,2.5167206985088345e-08,1.819091544064122e-08,6.976290656268702e-09,energy_conjugate,True,False,49,0.0050210845656692,0.0062620393000543,0.0047681567981383,0.001240954734385,0.000116,0.0116,23,True,True
51,shear,0.000118,0.0118,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0051.pt,checkpoint_step_0050_post_history,0.1854012516560033,,2.5567077344135214e-08,1.8387746436587804e-08,7.179330907547411e-09,energy_conjugate,True,False,50,0.0050210845656692,0.0062620393000543,0.0047621200140565,0.001240954734385,0.000118,0.0118,23,True,True
52,shear,0.00012,0.012,outputs\checkpoints\seed23_S0090_shear\best_models\step_checkpoints\checkpoint_mixedH_TM_step_0052.pt,checkpoint_step_0051_post_history,0.1813595881685614,,2.6056801161189472e-08,1.866998822208643e-08,7.386812495013828e-09,energy_conjugate,True,False,53,0.0050210845656692,0.0063511584885418,0.0047481209127548,0.0013300739228725,0.00012,0.012,23,True,True
